Nest_ID,Brood_ID,Habitat,found_date,found_Julian,max_eggs,max_chicks,egg_to_chick,chicks_fledged,chick_to_fledge,oldest_chick,oldest_chick,nest_fate
N17 REC2,N17 REC2_17,Savanna,6/28/2017,179,NA,3,NA,3,1.00,NA,NA,fledge
REC Gregg,REC Gregg,Savanna,7/3/2018,184,4,1,0.25,0,0.00,15,15,fail
18C Tonto,18C Tonto_brd1,CC,5/15/2018,135,5,3,0.60,3,1.00,36,36,fledge
NB 18C4,NB18C4_brd1,Savanna,5/15/2018,135,5,3,0.60,2,0.67,28,28,fledge
18C Timber,18C Timber_brd1,CC,5/21/2018,141,6,2,0.33,2,1.00,27,27,fledge
NB 5A4,NB 5A4_18,Savanna,5/29/2018,149,3,3,1.00,3,1.00,35,35,fledge
PN17 REC1,PN17 REC1_brd1_18,CC,5/29/2018,149,3,3,1.00,2,0.67,0,19,uncertain
N18 18C 9,18C 9,CC,5/31/2018,151,4,0,0.00,0,NA,16,16,fail
5A Cross,5A Cross,Savanna,6/1/18,152,4,3,0.75,2,0.67,32,32,fledge
5A Cut,5A Cut_brd1,Savanna,6/1/2018,152,3,0,0.00,0,NA,0,0,fail
5A Match,5A Match,Savanna,6/1/2018,152,4,2,0.50,0,0.00,0,NA,fledge
5A Wet,5A Wet_brd1,Wetland,6/1/2018,152,NA,1,NA,0,0.00,0,0,fail
N17 18CA2,N1718CA2_18,Savanna,6/1/2018,152,5,2,0.40,1,0.50,28,28,fledge
RB36 ALT,RB36 ALT_brd1,Savanna,6/1/18,152,3,0,0.00,0,NA,0,0,fail
5B Classic,5B Classic,Savanna,6/7/2018,158,NA,0,NA,0,NA,2,2,fledge
5A Wet,5A Wet_brd2,Wetland,6/12/2018,163,3,0,0.00,0,NA,0,0,fail
5A Cut,5A Cut_brd2,Savanna,6/18/2018,169,5,3,0.60,2,0.67,28,28,fledge
18C Gum,18C Gum,Savanna,6/25/18,176,3,2,0.67,0,0.00,19,19,fail
NB 5B6,NB 5B6,Savanna,6/25/18,176,3,0,0.00,0,NA,0,0,fail
NB 5B5,NB 5B5,Savanna,6/27/2017,178,NA,3,NA,0,0.00,0,NA,fledge
PNA 5A1b,Pna 5A1b,Wetland,6/27/2017,178,NA,3,NA,0,0.00,0,NA,fledge
18C Noisy,18C Noisy,CC,6/28/2018,179,5,3,0.60,0,0.00,0,22,in progress
5A Wet,5A Wet_brd3,Wetland,6/28/18,179,5,3,0.60,0,0.00,0,NA,in progress
A1,A1,Savanna,6/28/2017,179,NA,1,NA,0,0.00,0,NA,uncertain
N17 REC3,N17 REC3_brd2_17,Savanna,6/28/2017,179,4,2,0.50,0,0.00,8,8,in progress
PN17 5B R1,PN17 REC1,CC,6/28/2017,179,NA,3,NA,0,0.00,0,NA,fail
18C Tonto,PNB 18CB_brd1,CC,6/28/2017,179,NA,2,NA,0,0.00,0,NA,fledge
N17 REC2,N17 REC2_18,Savanna,6/29/2018,180,NA,3,NA,0,0.00,0,NA,fledge
N17 REC3,N17 REC3_brd1,Savanna,6/29/2018,180,NA,2,NA,2,1.00,0,NA,fledge
N17 18CA2,N1718CA2_brd1,Savanna,6/29/2017,180,NA,2,NA,0,0.00,0,NA,fledge
NB 18C4,NB 18C4_brd2,Savanna,6/29/2017,180,4,0,0.00,0,NA,0,NA,fail
RB36 ALT,RB36 ALT_brd2,Savanna,7/2/2018,183,3,1,0.33,0,0.00,25,25,in progress
18C Catfish,18C Catfish,CC,7/3/2017,184,4,3,0.75,0,0.00,1,1,in progress
A3,A3,Savanna,7/3/2017,184,NA,3,NA,0,0.00,0,NA,in progress
NB 5B3,NB 5B3_brd2,Savanna,7/3/2017,184,3,1,0.33,0,0.00,7,7,in progress
RB11,RB11,Savanna,7/3/2017,184,NA,3,NA,3,1.00,0,NA,fledge
RB23,RB23_brd2,Savanna,7/3/2017,184,3,2,0.67,0,0.00,14,14,in progress
NB 5A4,NB 5A4_brd2,Savanna,7/10/2017,191,4,0,0.00,0,NA,0,NA,in progress
NB 18C4,NB18C4_brd2,Savanna,7/10/2018,191,2,0,0.00,0,NA,0,0,fail
18C Timber,18C Timber_brd2,CC,7/11/2018,192,5,0,0.00,0,NA,0,7,in progress
N17 REC3,N17 REC3_brd2,Savanna,7/11/2018,192,4,3,0.75,0,0.00,0,NA,in progress
NR4,NR4,Savanna,7/11/2017,192,NA,2,NA,0,0.00,0,NA,fail
PN17 REC1,PN17 REC1_brd2_18,CC,7/11/2018,192,4,3,0.75,0,0.00,12,12,in progress
N17 18CA2,N1718CA2_brd2,Savanna,7/13/2017,194,NA,NA,NA,0,NA,0,0,in progress
18C Tonto,PNB 18CB_brd2,CC,7/13/2017,194,4,0,0.00,0,NA,0,NA,in progress
18C Houdini,18C Houdini,Savanna,7/17/2018,198,3,1,0.33,0,0.00,0,NA,in progress
18C Tonto,18C Tonto_brd2,CC,7/17/2018,198,4,3,0.75,0,0.00,0,1,in progress
A1,A1_brd2,Savanna,7/18/2017,199,4,0,0.00,0,NA,0,NA,in progress
PN17 REC1,PN17 REC1_brd3,CC,7/18/2017,199,4,0,0.00,0,NA,0,NA,in progress
NB 18C4,NB 18C4_brd3,Savanna,7/22/2017,203,5,0,0.00,0,NA,0,NA,in progress
NB 5A4,NB 5A4,Savanna,NA,NA,NA,1,NA,1,1.00,25,25,fledge
PN17 REC1,PN17 REC1_brd2,CC,NA,NA,NA,0,NA,0,NA,0,0,fail
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
