Nest_ID,Year_found,TA,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description,Date_checked,Observer,Obs_type,Rank,Description
NB 5A,2017,05A,5/25/2018,LAW,binoculars,2,"pair on snag, maybe incubating",6/29/18,MAN,peeper,0,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB 5A4,2017,05A,5/21/18,ORG/MAN,peeper,na,no eggs,5/29/2018,ORG,peeper,4,1 egg,6/1/18,ORG,peeper,4,3 eggs,6/18/18,ORG,peeper,x,too high,6/28/2018,MAN,peeper,5,"3 chicks, getting pinfeathers",7/3/2018,LAW,peeper,5,2 chicks,07/06/2018,MAN,peeper,5,3 chicks,7/11/2018,MAN,peeper,5,3 chicks,7/16/2018,MAN,peeper,5,"1 chick, should fledge soon",7/20/2018,MAN,peeper,0/6?,empty - fledge?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A Match,2018,05A,5/23/2018,LAW,Peeper,0,no eggs,6/1/18,ORG,peeper,4,"4 eggs, bottom cavity",6/18/18,ORG,peeper,2  chicks,6/21/18,ORG,peeper,5,2 chicks,6/28/18,MAN,peeper,5,2 chicks,,07/02/2018,,peeper,5,"2 chicks, fledge soon?",07/06/2018,MAN,peeper,5,2 chicks,7/11/2018,ORG,peeper,0/6?,empty,7/17/2018,MAN,peeper,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A Cross,2018,05A,5/23/2018,MAN,Peeper,0,"no eggs (bottom cavity, top cavities too high)",05/24/2018,MAN,visual,2,rhwo in bottom cavity,5/29/2018,MAN,peeper,0,no eggs,6/1/18,ORG,peeper,4,2 eggs,6/5/18,MAN,peeper,4,eggs,6/13/2018,MAN,peeper,4,4 eggs,6/18/18,MAN,peeper,5,3 chicks,6/21/2018,ORG,peeper,5,3 chicks,6/28/2018,MAN,peeper,5,2 chicks,07/02/2018,MAN,peeper,5,2/3 chicks,07/06/2018,MAN,peeper,5,2 chicks,7/11/2018,MAN,peeper,5,2 chicks,7/13/2018,ORG,peeper,5,2 chicks,7/16/2018,MAN,peeper,0/6,0 chicks,7/26/2018,MAN,peeper,0,nothing,,,,,
5A Cut,2018,05A,5/23/2018,MAN,Peeper,0,no eggs,6/1/18,LAW,peeper,4,3 eggs,6/5/2018,LAW,peeper,0,no eggs,6/12/2018,MAN,peeper,0,empty,6/18/18,ORG,peeper,4,5 eggs,6/21/18,ATM,peeper,4,5 eggs,6/28/18,MAN,peeper,5,"3 chicks, 2 eggs",07/02/2018,,peeper,3 chicks,,07/06/2018,ORG,peeper,5,2 chicks,7/11/2018,MAN,peeper,5,2 chicks,7/13/2018,MAN,peeper,5,2 chicks,7/16/2018,MAN,peeper,5,2 chicks,7/19/2018,LAW,peeper,5,"2 chicks, old",7/26/2018,MAN,peeper,5,"2 chicks, near fledge age",8/2/2018,MAN,peeper,0/6,empty,,,,,
NB 18C4,2017,18C,5/15/2018,MAN,peeper,4,1 egg,5/21/2018,LAW,Peeper,0,no eggs,5/24/2018,MAN,peeper,4,5 eggs,05/31/2018,ORG,peeper,5,3 chicks!,6/5/2018,LAW,peeper,5,2 chicks,6/7/18,MAN,peeper,5,2 chicks,6/13/2018,MAN,peeper,5,"2 chicks, pinfeathers",6/18/18,MAN,peeper,5,"2 chicks, feathers growing",6/21/18,ORG,peeper,5,2 chicks,6/25/18,org,peeper,5,2 chicks,6/28/18,ORG,peeper,5,2 chicks,07/02/2018,MAN,peeper,0, empty,07/06/2018,MAN,peeper,0,empty,7/10/2018,ORG,peeper,4,2 eggs,7/17/2018,MAN,peeper,0,empty,,,,,
"""Tonto"" PNB 18CB",2017,18C,5/15/2018,ORG,peeper,4,1 egg,5/21/2018,LAW,Peeper,4,5 eggs,05/31/2018,MAN,peeper,5,3 chicks!,6/5/2018,LAW,peeper,5,3 chicks,6/13/2018,MAN,peeper,5,"3 chicks, pinfeathers",6/18/18,MAN,peeper,5,"3 chicks, feathers growing",6/25/18,man,peeper,5,3 chicks,6/28/18,ORG,peeper,5,3 chicks,07/02/2018,,peeper,5,2 chicks,07/06/2018,MAN,peeper,5/6,"1 chick, others fledged",7/11/2018,MAN,peeper,6,"empty, fledglings seen",7/17/2018,MAN,peeper,4,1 egg,7/25/2018,ORG,peeper,4,4 eggs,8/2/2018,MAN,peeper,5,"3 chicks (young/pink), egg, eggshell",8/8/2018,LAW,peeper,5,"3 chicks, pink",,,,,
N17 18CA2,2017,18C,5/15/2018,LAW,peeper,1,"0 eggs, BUSY present day before",5/21/2018,LAW,Peeper,0,No eggs,6/1/18,MAN,peeper,4,"5 eggs, top cavity",6/13/2018,ORG,peeper,5,2 chicks! 😊,6/18/18,MAN,peeper,5,"2 chicks, no feathers",6/25/18,man,peeper,5,1 chick,6/28/18,MAN,peeper,5,"1 chick, pinfeathers",07/02/2018,,peeper,5,1 chick,07/06/2018,MAN,peeper,5,"chicks heard, camera died",7/9/2018,ORG,peeper,5,1 chick,7/11/2018,MAN,peeper,5,"1 chick, almost fledge age",7/17/2018,MAN,peeper,0/6?,empty,,,,,,,,,,,,,,,,,,,,
18C Timber,2018,18C,5/15/2018,LAW,peeper,1,"0 eggs, W in cav",5/21/2018,LAW,peeper,4,5 eggs,5/31/2018,MAN,peeper,4,6 eggs,6/5/2018,LAW,peeper,5,"2 chicks, eggshells",6/13/2018,MAN,peeper,5,"2 chicks, pinfeathers",6/18/18,MAN,peeper,5,"2 chicks, feathers growing",6/25/18,man,peeper,5,2 chicks,6/26/2018,MAN,peeper,5,2 chicks,6/28/18,ORG,peeper,5,2 chicks,07/02/2018,,peeper,5,2 chicks,07/06/2018,MAN,peeper,0,fledged,7/11/2018,MAN,peeper,4,3 eggs,7/17/2018,ORG,peeper,4,5 eggs,7/25/2018,ORG,peeper,5,"2 chicks, 1-2 eggs",8/2/2018,MAN,peeper,5,"1 chick (large, pink)",8/8/2018,LAW,peeper,5,"1 chick, pinfeathers"
N18 18C 3,2018,18C,5/15/2018,LAW,peeper,2,"0 eggs, copulation",43242,LAW,peeper,,"no eggs, likely nesting in cavity too high",6/1/18,MAN,peeper,0,no eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18C Gum,2018,18C,5/21/2018,MAN,Peeper,0,No eggs,5/24/2018,MAN,peeper,0,empty,5/31/2018,MAN,peeper,0,no eggs,6/13/2018,MAN,peeper,0,nothing,6/18/18,MAN,peeper,0,nothing,6/25/18,law,peeper,4,3 eggs,6/28/18,MAN,peeper,4,2 eggs,07/02/2018,LAW,peeper,4,2 eggs,07/06/2018,MAN,peeper,5,"2 chicks and shells, hatch day",7/11/2018,MAN,peeper,5,"2 chicks, pink",7/17/2018,MAN,peeper,5,"2 chicks, pinfeathers",7/25/2018,ORG,peeper,5,1 chick,,,,,,,,,,,,,,,,,,,,
18C LG,2018,18C,5/22/2018,MAN/ORG,Peeper,0,,5/31/2018,MAN,peeper,0,no eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N18 18C 6,2018,18C,5/22/2018,MAN,Peeper,0,,6/1/18,MAN,peeper,0,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N18 18C 9,2018,18C,5/22/2018,MAN,peeper,4,RHWO would not leave cavity,5/24/2018,ORG,peeper,4,W in cavity,5/31/2018,MAN,peeper,4,4 eggs,6/5/2018,LAW,peeper,5,3 chicks w/ eggshells,6/7/18,MAN,peeper,5,3 chicks + 1 egg,6/13/2018,MAN,peeper,5,adult didn't flush,6/18/18,MAN,peeper,5,"2 chicks, pinfeathers",6/21/18,ORG,peeper,5,"1 chick in nest, 1 chick dead on ground at base of snag",6/25/18,MAN,peeper,0,nothing,07/06/2018,MAN,peeper,0,empty,7/10/2018,ORG,peeper,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,
18C Noisy (unnamed),2018,18C,6/28/2018,LAW,peeper,4,5 eggs,7/6/2018,LAW,peeper,5,5 hatched chicks,7/11/2018,MAN,peeper,5,"3 chicks, huddle",7/13/2018,MAN,peeper,5,3 chicks,7/17/2018,MAN,peeper,5,3 chicks with pinfeathers,7/20/2018,MAN,peeper,5,3 chicks,7/25/2018,LAW,peeper,5,3 chicks,8/2/2018,MAN,peeper,5,2 chicks (almost fledge age),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18C Houdini,,,7/17/2018,MAN,peeper,5,"1 chick, some eggs",7/25/2018,LAW,peeper,5,1 chick,8/8/2018,LAW,peeper,5,"1 chick, feathers grown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N17 REC2,2017,REC,5/21/18,ORG/MAN,peeper,na,cavity too high,5/29/2018,LAW,binoculars,3,RHWO pecking in cav,6/29/18,ORG,peeper,5,"3 chicks, eyes closed",7/3/2018,MAN,peeper,5,3 chicks,7/18/2018,MAN,peeper,5,3 chicks (old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N17 REC3,2017,REC,5/21/18,ORG/MAN,peeper,na,no eggs,5/24/2018,MAN,peeper,0,empty,5/29/2018,MAN,peeper,0,"no eggs, squirrels in bottom cavity, top cavities not reachable",6/29/18,MAN,peeper,5,"2 chicks, near fledge age",7/2/2018,LAW,peeper,0/6,empty,7/11/2018,ORG,peeper,4,3 eggs,7/18/2018,MAN,peeper,4,4 eggs,7/27/2018,MAN,peeper,5,"3 chicks, fresh",8/2/2018,MAN,peeper,5,3 chicks (starting to grow feathers),8/8/2018,LAW,peeper,5,3 chicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN17 REC1,2017,REC,5/21/18,ORG/MAN,peeper,na,no eggs,5/24/2018,MAN,peeper,0,empty,5/29/2018,MAN,peeper,4,3 eggs,6/1/18,MAN,peeper,4,3 eggs,6/5/18,MAN,peeper,4,3 eggs,6/18/18,MAN,peeper,5,3 chicks,6/21/18,ORG,peeper,5,2 chicks,6/28/18,MAN,peeper,5,2 chicks,7/2/2018,LAW,peeper,5,2 chicks,7/11/2018,ORG,peeper,4,1 egg,7/18/2018,MAN,peeper,4,4 eggs,7/27/2018,MAN,peeper,5,"3 chicks, 1 egg",8/2/2018,MAN,peeper,5,2 chicks (starting to grow feathers),8/8/2018,LAW,peeper,5,2 chicks,,,,,,,,,,
REC Gregg,2018,REC,6/1/2018,LAW,visual,3,excavating,7/3/2018,MAN,peeper,4,4 eggs,7/6/2018,LAW,peeper,5,"chicks and eggs, hatch day",7/11/2018,LAW,peeper,5,"3 eggs, 1 chick",7/17/2018,MAN,peeper,5,1 chick,7/26/2018,MAN,peeper,5,1 chick,8/2/2018,MAN,peeper,0/6,0 chicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC Branch,2018,REC,6/1/2018,LAW,visual,2/4?,pair,6/5/2018,LAW,peeper,0,wood chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB 5B3,2017,05B,5/21/2018,ORG,Peeper,na,No eggs,5/29/2018,MAN,peeper,0,na,6/1/18,MAN,peeper,0,nothing,6/7/18,MAN,peeper,0,nothing,6/12/2018,MAN,peeper,0,may be inactive,6/27/2018,LAW,peeper,0,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB 5B6,2017,05B,5/14/2018,LAW,scope,4,ROSY and SUBR defended bottom cavity from NOFL. incubating?,5/21/18,MAN,Peeper,4,No eggs,5/29/2018,MAN,peeper,0,squirrels in bottom cavity,6/1/18,MAN,peeper,0,squirrels in bottom cavity,6/7/18,MAN,peeper,0,nothing,6/12/2018,ORG,peeper,0,"woodchips, saw pair on snag",6/25/18,MAN,peeper,4,3 eggs,6/27/2018,LAW,peeper,4,3 eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN1,2016,05B,5/21/2018,ORG/MAN,Peeper,na,No eggs,5/29/2018,MAN,peeper,0,no eggs,6/1/18,ORG,peeper,0,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB11,2016,05B,5/21/2018,ORG,peeper,0,No eggs,5/29/2018,ORG,peeper,0,no eggs,6/1/18,MAN,peeper,0,no eggs,6/7/18,MAN,peeper,0,nothing,6/12/2018,ORG,peeper,0,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B Yoso,2018,05B,5/14/2018,LAW,scope,2,,6/1/18,LAW,peeper,0,woodchips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB36 ALT,2016,05B,5/22/18,LAW,Peeper,0,no eggs,5/29/2018,MAN,peeper,0,empty,6/1/18,ORG,peeper,4,"3 eggs, cavity below bark",6/7/18,MAN,peeper,0,"no eggs, predated",6/12/2018,MAN,peeper,0,nothing,07/02/18,,peeper,5,"1 chick, 2 eggs",07/06/18,MAN,peeper,5,"1 chick, pink, eggshell",7/11/2018,MAN,peeper,5,1 chick,7/17/2018,MAN,peeper,5,1 chick,7/19/2018,MAN,peeper,5,"1 chick, growing feathers",7/27/2018,MAN,peeper,5,1 chick,,,,,,,,,,,,,,,,,,,,,,,,,
5B Classic,2018,05B,5/22/2018,LAW,Peeper,0,no eggs,6/1/18,MAN,peeper,0,nothing,6/7/18,MAN,peeper,4,2 or 3? chicks,6/12/2018,MAN,peeper,5,2 chicks,6/27/2018,LAW,peeper,5,2 chicks almost fledge age,07/02/18,MAN,peeper,5,2 chicks,07/06/18,MAN,peeper,0/6,"empty, dirty",7/11/2018,MAN,peeper,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3b,2018,05B,5/15/2018,LAW,scope,2,na,5/21/18,ORG/MAN,visual,na,cavity too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
