Nest_ID,TA,date_1,observer_1,obs_type_1,rank_1,description_1,date_2,observer_2,obs_type_2,rank_2,description_2,date_3,observer_3,obs_type_3,rank_3,description_3,date_4,observer_4,obs_type_4,rank_4,description_4,date_5,observer_5,obs_type_5,rank_5,description_5,date_6,observer_6,obs_type_6,rank_6,description_6,date_7,observer_7,obs_type_7,rank_7,description_7,date_8,observer_8,obs_type_8,rank_8,description_8,date_9,observer_9,obs_type_9,rank_9,description_9,date_10,observer_10,obs_type_10,rank_10,description_10,date_11,observer_11,obs_type_11,rank_11,description_11,
NB 5A4,05A,5/29/2018,ORG,peeper,4,1 egg,6/1/2018,ORG,peeper,4,3 eggs,6/28/2018,MAN,peeper,5,"3 chicks, getting pinfeathers",7/3/2018,LAW,peeper,5,2 chicks,7/6/2018,MAN,peeper,5,3 chicks,7/11/2018,MAN,peeper,5,3 chicks,7/16/2018,MAN,peeper,5,"1 chick, should fledge soon",7/20/2018,MAN,peeper,0/6?,empty - fledge?,,,,,,,,,,,,,,,,
5A Match,05A,6/1/2018,ORG,peeper,4,"4 eggs, bottom cavity",6/18/2018,ORG,peeper,,2  chicks,6/21/2018,ORG,peeper,5,2 chicks,6/28/2018,MAN,peeper,5,2 chicks,7/2/2018,,peeper,5,"2 chicks, fledge soon?",7/6/2018,MAN,peeper,5,2 chicks,7/11/2018,ORG,peeper,0/6?,empty,,,,,,,,,,,,,,,,,,,,,
5A Cross,05A,6/1/2018,ORG,peeper,4,2 eggs,6/5/2018,MAN,peeper,4,eggs,6/13/2018,MAN,peeper,4,4 eggs,6/18/2018,MAN,peeper,5,3 chicks,6/21/2018,ORG,peeper,5,3 chicks,6/28/2018,MAN,peeper,5,2 chicks,7/2/2018,MAN,peeper,5,2/3 chicks,7/6/2018,MAN,peeper,5,2 chicks,7/11/2018,MAN,peeper,5,2 chicks,7/13/2018,ORG,peeper,5,2 chicks,7/16/2018,MAN,peeper,0/6,0 chicks,
5A Cut_1,05A,6/1/2018,LAW,peeper,4,3 eggs,6/5/2018,LAW,peeper,0,no eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB 18C4_1,18C,5/15/2018,MAN,peeper,4,1 egg,5/21/2018,LAW,Peeper,0,no eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonto PNB 18CB_1,18C,5/15/2018,ORG,peeper,4,1 egg,5/21/2018,LAW,Peeper,4,5 eggs,5/31/2018,MAN,peeper,5,3 chicks!,6/5/2018,LAW,peeper,5,3 chicks,6/13/2018,MAN,peeper,5,"3 chicks, pinfeathers",6/18/2018,MAN,peeper,5,"3 chicks, feathers growing",6/25/2018,man,peeper,5,3 chicks,6/28/2018,ORG,peeper,5,3 chicks,7/2/2018,,peeper,5,2 chicks,7/6/2018,MAN,peeper,6-May,"1 chick, others fledged",7/11/2018,MAN,peeper,6,"empty, fledglings seen",
N17 18CA2,18C,6/1/2018,MAN,peeper,4,"5 eggs, top cavity",6/13/2018,ORG,peeper,5,2 chicks! 😊,6/18/2018,MAN,peeper,5,"2 chicks, no feathers",6/25/2018,man,peeper,5,1 chick,6/28/2018,MAN,peeper,5,"1 chick, pinfeathers",7/2/2018,,peeper,5,1 chick,7/6/2018,MAN,peeper,5,"chicks heard, camera died",7/9/2018,ORG,peeper,5,1 chick,7/11/2018,MAN,peeper,5,"1 chick, almost fledge age",7/17/2018,MAN,peeper,0/6?,empty,,,,,,
18C Timber_1,18C,5/21/2018,LAW,peeper,4,5 eggs,5/31/2018,MAN,peeper,4,6 eggs,6/5/2018,LAW,peeper,5,"2 chicks, eggshells",6/13/2018,MAN,peeper,5,"2 chicks, pinfeathers",6/18/2018,MAN,peeper,5,"2 chicks, feathers growing",6/25/2018,man,peeper,5,2 chicks,6/26/2018,MAN,peeper,5,2 chicks,6/28/2018,ORG,peeper,5,2 chicks,7/2/2018,,peeper,5,2 chicks,7/6/2018,MAN,peeper,0,fledged,,,,,,
18C Gum,18C,6/25/2018,law,peeper,4,3 eggs,6/28/2018,MAN,peeper,4,2 eggs,7/2/2018,LAW,peeper,4,2 eggs,7/6/2018,MAN,peeper,5,"2 chicks and shells, hatch day",7/11/2018,MAN,peeper,5,"2 chicks, pink",7/17/2018,MAN,peeper,5,"2 chicks, pinfeathers",7/25/2018,ORG,peeper,5,1 chick,,,,,,,,,,,,,,,,,,,,,
N18 18C 9,18C,5/22/2018,MAN,peeper,4,RHWO would not leave cavity,5/24/2018,ORG,peeper,4,W in cavity,5/31/2018,MAN,peeper,4,4 eggs,6/5/2018,LAW,peeper,5,3 chicks w/ eggshells,6/7/2018,MAN,peeper,5,3 chicks + 1 egg,6/13/2018,MAN,peeper,5,adult didn't flush,6/18/2018,MAN,peeper,5,"2 chicks, pinfeathers",6/21/2018,ORG,peeper,5,"1 chick in nest, 1 chick dead on ground at base of snag",6/25/2018,MAN,peeper,0,nothing,,,,,,,,,,,
18C Noisy,18C,6/28/2018,LAW,peeper,4,5 eggs,7/6/2018,LAW,peeper,5,5 hatched chicks,7/11/2018,MAN,peeper,5,"3 chicks, huddle",7/13/2018,MAN,peeper,5,3 chicks,7/17/2018,MAN,peeper,5,3 chicks with pinfeathers,7/20/2018,MAN,peeper,5,3 chicks,7/25/2018,LAW,peeper,5,3 chicks,8/2/2018,MAN,peeper,5,2 chicks (almost fledge age),,,,,,,,,,,,,,,,
18C Houdini,18C,7/17/2018,MAN,peeper,5,"1 chick, some eggs",7/25/2018,LAW,peeper,5,1 chick,8/8/2018,LAW,peeper,5,"1 chick, feathers grown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N17 REC2,REC,6/29/2018,ORG,peeper,5,"3 chicks, eyes closed",7/3/2018,MAN,peeper,5,3 chicks,7/18/2018,MAN,peeper,5,3 chicks (old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N17 REC3,REC,6/29/2018,MAN,peeper,5,"2 chicks, near fledge age",7/2/2018,LAW,peeper,0/6,empty,7/11/2018,ORG,peeper,4,3 eggs,7/18/2018,MAN,peeper,4,4 eggs,7/27/2018,MAN,peeper,5,"3 chicks, fresh",8/2/2018,MAN,peeper,5,3 chicks (starting to grow feathers),8/8/2018,LAW,peeper,5,3 chicks,,,,,,,,,,,,,,,,,,,,,
PN17 REC1,REC,5/29/2018,MAN,peeper,4,3 eggs,6/1/2018,MAN,peeper,4,3 eggs,6/5/2018,MAN,peeper,4,3 eggs,6/18/2018,MAN,peeper,5,3 chicks,6/21/2018,ORG,peeper,5,2 chicks,6/28/2018,MAN,peeper,5,2 chicks,7/2/2018,LAW,peeper,5,2 chicks,7/11/2018,ORG,peeper,4,1 egg,7/18/2018,MAN,peeper,4,4 eggs,7/27/2018,MAN,peeper,5,"3 chicks, 1 egg",8/2/2018,MAN,peeper,5,2 chicks (starting to grow feathers),
REC Gregg,REC,7/3/2018,MAN,peeper,4,4 eggs,7/6/2018,LAW,peeper,5,"chicks and eggs, hatch day",7/11/2018,LAW,peeper,5,"3 eggs, 1 chick",7/17/2018,MAN,peeper,5,1 chick,7/26/2018,MAN,peeper,5,1 chick,8/2/2018,MAN,peeper,0/6,0 chicks,,,,,,,,,,,,,,,,,,,,,,,,,,
NB 5B6,05B,6/25/2018,MAN,peeper,4,3 eggs,6/27/2018,LAW,peeper,4,3 eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB36 ALT_1,05B,6/1/2018,ORG,peeper,4,"3 eggs, cavity below bark",6/7/2018,MAN,peeper,0,"no eggs, predated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B Classic,05B,6/7/2018,MAN,peeper,4,2 or 3? chicks,6/12/2018,MAN,peeper,5,2 chicks,6/27/2018,LAW,peeper,5,2 chicks almost fledge age,7/2/2018,MAN,peeper,5,2 chicks,7/6/2018,MAN,peeper,0/6,"empty, dirty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB36 ALT_2,05B,7/2/2018,,peeper,5,"1 chick, 2 eggs",7/6/2018,MAN,peeper,5,"1 chick, pink, eggshell",7/11/2018,MAN,peeper,5,1 chick,7/17/2018,MAN,peeper,5,1 chick,7/19/2018,MAN,peeper,5,"1 chick, growing feathers",7/27/2018,MAN,peeper,5,1 chick,,,,,,,,,,,,,,,,,,,,,,,,,,
18C Timber_2,18C,7/11/2018,MAN,peeper,4,3 eggs,7/17/2018,ORG,peeper,4,5 eggs,7/25/2018,ORG,peeper,5,"2 chicks, 1-2 eggs",8/2/2018,MAN,peeper,5,"1 chick (large, pink)",8/8/2018,LAW,peeper,5,"1 chick, pinfeathers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonto PNB 18CB_2,18C,7/17/2018,MAN,peeper,4,1 egg,7/25/2018,ORG,peeper,4,4 eggs,8/2/2018,MAN,peeper,5,"3 chicks (young/pink), egg, eggshell",8/8/2018,LAW,peeper,5,"3 chicks, pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB 18C4_2,18C,5/24/2018,MAN,peeper,4,5 eggs,5/31/2018,ORG,peeper,5,3 chicks!,6/5/2018,LAW,peeper,5,2 chicks,6/7/2018,MAN,peeper,5,2 chicks,6/13/2018,MAN,peeper,5,"2 chicks, pinfeathers",6/18/2018,MAN,peeper,5,"2 chicks, feathers growing",6/21/2018,ORG,peeper,5,2 chicks,6/25/2018,org,peeper,5,2 chicks,6/28/2018,ORG,peeper,5,2 chicks,7/2/2018,MAN,peeper,0, empty,,,,,,
NB 18C4_3,18C,7/10/2018,ORG,peeper,4,2 eggs,7/17/2018,MAN,peeper,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A Cut_2,5A,6/18/2018,ORG,peeper,4,5 eggs,6/21/2018,ATM,peeper,4,5 eggs,6/28/2018,MAN,peeper,5,"3 chicks, 2 eggs",7/2/2018,,peeper,3 chicks,,7/6/2018,ORG,peeper,5,2 chicks,7/11/2018,MAN,peeper,5,2 chicks,7/13/2018,MAN,peeper,5,2 chicks,7/16/2018,MAN,peeper,5,2 chicks,7/19/2018,LAW,peeper,5,"2 chicks, old",7/26/2018,MAN,peeper,5,"2 chicks, near fledge age",8/2/2018,MAN,peeper,0/6,empty,
