"","vID","Observation.id","Sample","Observation_id","Sex","Nest_ID","Brood_ID","Month","Julian_date","Year","TA","Habitat","First_egg_Julian","Hatch_Julian","Fledge_Julian","Exact_age_chick","Peeped_chick_count","Max_number_eggs","Max_number_chicks","Proportion_hatched","Chicks_fledged","Proportion_fledged","Nest_fate","Nest_fate_certainty","Oldest_nestling","Number_chick_mortalities","Percent_chick_mortalities","Chicks_visible.","With_bpk.","Start_time","Early_or_late","Nearest_neighbor","Distance_nearest_neighbor_m","Length_usable","Video_number","Subject","feeding","cleaning","Length_total","brooding_sec","Std_jdate","brooding_min"
"44","141.SUOR","2018-07-17_18CNoisy_A_1bpk_715","2018-07-17_18CNoisy_A_1bpk_715.SUOR","2018-07-17_18CNoisy.A_1bpk_715","female","18C Noisy","Noisy","July",198,2018,"18C","CC",NA,187,NA,11,3,5,5,1,NA,NA,NA,NA,NA,3,0.6,0,1,715,"early","PNB 18CB",194.3,64,141,"SUOR",25,0,240,0,0.864851102762806,0
"45","144.SORO","2018-07-19_RB36alt_A_1c_1031","2018-07-19_RB36alt_A_1c_1031.SORO","2018-07-19_RB36alt.A_1c_1031","female","RB36 Alt","RB36alt_brd2_18","July",200,2018,"05B","Savanna",NA,183,NA,17,1,3,1,0.3333333333,NA,NA,NA,NA,NA,NA,NA,0,0,1031,"early","A1",102.2,64,144,"SORO",3,0,234,0,1.00872651727048,0
"46","144.SORO_mate_18","2018-07-19_RB36alt_A_1c_1031","2018-07-19_RB36alt_A_1c_1031.SORO_mate_18","2018-07-19_RB36alt.A_1c_1031","male","RB36 Alt","RB36alt_brd2_18","July",200,2018,"05B","Savanna",NA,183,NA,17,1,3,1,0.3333333333,NA,NA,NA,NA,NA,NA,NA,0,0,1031,"early","A1",102.2,64,144,"SORO_mate_18",9,4,234,324.861,1.00872651727048,5.41435
"47","146.SWOP","2018-07-28_18CHoudini_A_930","2018-07-28_18CHoudini_A_930.SWOP","2018-07-28_18CHoudini.A_930","female","18C Houdini","Houdini","July",209,2018,"18C","Savanna",NA,198,NA,11,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,930,"early","18C Gum",102.7,64,146,"SWOP",11,0,163,222.621,1.65616588255502,3.71035
"48","146.YOUS","2018-07-28_18CHoudini_A_930","2018-07-28_18CHoudini_A_930.YOUS","2018-07-28_18CHoudini.A_930","male","18C Houdini","Houdini","July",209,2018,"18C","Savanna",NA,198,NA,11,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,930,"early","18C Gum",102.7,64,146,"YOUS",9,3,163,547.717,1.65616588255502,9.12861666666667
"49","147.POPS","2018-08-08_18CTimber_A_1c_900","2018-08-08_18CTimber_A_1c_900.POPS","2018-08-08_18CTimber.A_1c_900","male","18C Timber","Timber_brd2","August",220,2018,"18C","CC",NA,206,NA,14,1,5,2,0.4,NA,NA,NA,NA,NA,NA,NA,0,0,900,"early","PNB 18CB",291.4,64,147,"POPS",7,5,201,0,2.44748066234724,0
"50","147.WSPR","2018-08-08_18CTimber_A_1c_900","2018-08-08_18CTimber_A_1c_900.WSPR","2018-08-08_18CTimber.A_1c_900","female","18C Timber","Timber_brd2","August",220,2018,"18C","CC",NA,206,NA,14,1,5,2,0.4,NA,NA,NA,NA,NA,NA,NA,0,0,900,"early","PNB 18CB",291.4,64,147,"WSPR",10,4,201,0,2.44748066234724,0
"51","64.RYSG","2017-06-26_REC_r5_PN17REC1_B","2017-06-26_REC_r5_PN17REC1_B.RYSG","2017-06-26_REC_r5_PN17REC1.B","male","PN17 REC1","REC1_brd1","June",177,2017,"REC","CC",157,170,195,7,3,NA,3,NA,0,0,"Failed","Certain",18,3,1,0,0,1213,"late","N17 REC3",67.4,64,64,"RYSG",30,11,200,1097.379,-0.64584074956779,18.28965
"52","64.SUOB","2017-06-26_REC_r5_PN17REC1_B","2017-06-26_REC_r5_PN17REC1_B.SUOB","2017-06-26_REC_r5_PN17REC1.B","female","PN17 REC1","REC1_brd1","June",177,2017,"REC","CC",157,170,195,7,3,NA,3,NA,0,0,"Failed","Certain",18,3,1,0,0,1213,"late","N17 REC3",67.4,64,64,"SUOB",37,0,200,0,-0.64584074956779,0
"53","65.GRGS","2017-06-27_5A_r5_NB5A4_B","2017-06-27_5A_r5_NB5A4_B.GRGS","2017-06-27_5A_r5_NB5A4.B","male","NB 5A4","NB5A4_brd1","June",178,2017,"05A","Savanna",140,153,178,25,1,NA,NA,NA,1,NA,"Fledge","Uncertain",25,NA,NA,1,0,935,"early","PNB 5B3",65.1,63,65,"GRGS",5,0,128,0,-0.573903042313952,0
"54","65.SURO","2017-06-27_5A_r5_NB5A4_B","2017-06-27_5A_r5_NB5A4_B.SURO","2017-06-27_5A_r5_NB5A4.B","female","NB 5A4","NB5A4_brd1","June",178,2017,"05A","Savanna",140,153,178,25,1,NA,NA,NA,1,NA,"Fledge","Uncertain",25,NA,NA,1,0,935,"early","PNB 5B3",65.1,63,65,"SURO",8,0,128,0,-0.573903042313952,0
"55","67.OSGR","2017-06-27_5B_r5_NB5B5_C","2017-06-27_5B_r5_NB5B5_C.OSGR","2017-06-27_5B_r5_NB5B5.C","male","NB 5B5","NB5B5_brd1","June",178,2017,"05B","Savanna",145,158,183,20,3,NA,NA,NA,3,NA,"Fledge","Uncertain",NA,0,NA,1,0,1130,"late","NB 5A",50.2,36,67,"OSGR",44,8,144,0,-0.573903042313952,0
"56","67.OSGR_mate","2017-06-27_5B_r5_NB5B5_A","2017-06-27_5B_r5_NB5B5_A.OSGR_mate","2017-06-27_5B_r5_NB5B5.A","female","NB 5B5","NB5B5_brd1","June",178,2017,"05B","Savanna",145,158,183,20,3,NA,NA,NA,3,NA,"Fledge","Uncertain",NA,0,NA,1,0,942,"early","NB 5A",50.2,44,67,"OSGR_mate",19,0,144,0,-0.573903042313952,0
"57","68.OSGR","2017-06-28_5B_r5_NB5B5_A","2017-06-28_5B_r5_NB5B5_A.OSGR","2017-06-28_5B_r5_NB5B5.A","male","NB 5B5","NB5B5_brd1","June",179,2017,"05B","Savanna",145,158,183,21,3,NA,NA,NA,3,NA,"Fledge","Uncertain",NA,0,NA,1,0,749,"early","NB 5A",50.2,64,68,"OSGR",23,5,319,0,-0.501965335060114,0
"58","68.OSGR_mate","2017-06-28_5B_r5_NB5B5_B","2017-06-28_5B_r5_NB5B5_B.OSGR_mate","2017-06-28_5B_r5_NB5B5.B","female","NB 5B5","NB5B5_brd1","June",179,2017,"05B","Savanna",145,158,183,21,3,NA,NA,NA,3,NA,"Fledge","Uncertain",NA,0,NA,1,0,853,"early","NB 5A",50.2,64,68,"OSGR_mate",10,0,319,0,-0.501965335060114,0
"59","70.BUSY","2017-06-29_18C_r5_N1718CA2_E","2017-06-29_18C_r5_N1718CA2_E.BUSY","2017-06-29_18C_r5_N1718CA2.E","male","N17 18CA2","N1718CA2_brd1","June",180,2017,"18C","Savanna",143,156,181,24,1,NA,NA,NA,2,NA,"Fledge","Uncertain",25,0,NA,1,0,1100,"late","NB 18C S",117,64,70,"BUSY",30,6,433,0,-0.430027627806276,0
"60","70.SRUB","2017-06-29_18C_r5_N1718CA2_F","2017-06-29_18C_r5_N1718CA2_F.SRUB","2017-06-29_18C_r5_N1718CA2.F","female","N17 18CA2","N1718CA2_brd1","June",180,2017,"18C","Savanna",143,156,181,24,1,NA,NA,NA,2,NA,"Fledge","Uncertain",25,0,NA,1,0,1204,"late","NB 18C S",117,64,70,"SRUB",9,0,433,0,-0.430027627806276,0
"61","72.ROSO","2017-06-29_18C_r5_PNB18CB_D","2017-06-29_18C_r5_PNB18CB_D.ROSO","2017-06-29_18C_r5_PNB18CB.D","male","PNB 18CB","Tonto_brd1","June",180,2017,"18C","CC",144,157,182,23,2,NA,NA,NA,2,NA,"Fledge","Uncertain",NA,NA,NA,1,0,1442,"late","18C Catfish",87.1,3,72,"ROSO",27,6,195,164.767,-0.430027627806276,2.74611666666667
"62","72.SGBY","2017-06-29_18C_r5_PNB18CB_B","2017-06-29_18C_r5_PNB18CB_B.SGBY","2017-06-29_18C_r5_PNB18CB.B","female","PNB 18CB","Tonto_brd1","June",180,2017,"18C","CC",144,157,182,23,2,NA,NA,NA,2,NA,"Fledge","Uncertain",NA,NA,NA,1,0,1234,"late","18C Catfish",87.1,64,72,"SGBY",39,0,195,0,-0.430027627806276,0
"63","73.BUSY","2017-06-30_18C_r5_N1718CA2_A","2017-06-30_18C_r5_N1718CA2_A.BUSY","2017-06-30_18C_r5_N1718CA2.A","male","N17 18CA2","N1718CA2_brd1","June",180,2017,"18C","Savanna",143,156,181,25,1,NA,NA,NA,2,NA,"Fledge","Uncertain",25,0,NA,1,0,735,"early","NB 18C S",117,57,73,"BUSY",18,0,226,0,-0.430027627806276,0
"64","73.SRUB","2017-06-30_18C_r5_N1718CA2_A","2017-06-30_18C_r5_N1718CA2_A.SRUB","2017-06-30_18C_r5_N1718CA2.A","female","N17 18CA2","N1718CA2_brd1","June",180,2017,"18C","Savanna",143,156,181,25,1,NA,NA,NA,2,NA,"Fledge","Uncertain",25,0,NA,1,0,735,"early","NB 18C S",117,57,73,"SRUB",3,0,226,0,-0.430027627806276,0
"65","74.ROSO","2017-06-30_18C_r5_PNB18CB_A","2017-06-30_18C_r5_PNB18CB_A.ROSO","2017-06-30_18C_r5_PNB18CB.A","male","PNB 18CB","Tonto_brd1","June",181,2017,"18C","CC",144,157,182,24,2,NA,NA,NA,2,NA,"Fledge","Uncertain",NA,NA,NA,1,0,635,"early","18C Catfish",87.1,64,74,"ROSO",21,0,205,0,-0.358089920552438,0
"66","74.SGBY","2017-06-30_18C_r5_PNB18CB_D","2017-06-30_18C_r5_PNB18CB_D.SGBY","2017-06-30_18C_r5_PNB18CB.D","female","PNB 18CB","Tonto_brd1","June",181,2017,"18C","CC",144,157,182,24,2,NA,NA,NA,2,NA,"Fledge","Uncertain",NA,NA,NA,1,0,947,"early","18C Catfish",87.1,13,74,"SGBY",22,0,205,0,-0.358089920552438,0
"67","75.GOSY","2017-06-30_REC_r5_N17REC2_B","2017-06-30_REC_r5_N17REC2_B.GOSY","2017-06-30_REC_r5_N17REC2.B","female","N17 REC2","N17REC2_brd1","June",181,2017,"REC","Savanna",162,175,200,6,3,NA,3,NA,2,0.6666666667,"Fledge","Uncertain",25,1,0.3333333333,0,1,1258,"late","N17 REC3",46.2,64,75,"GOSY",22,4,147,0,-0.358089920552438,0
"68","75.YSOG","2017-06-30_REC_r5_N17REC2_B","2017-06-30_REC_r5_N17REC2_B.YSOG","2017-06-30_REC_r5_N17REC2.B","male","N17 REC2","N17REC2_brd1","June",181,2017,"REC","Savanna",162,175,200,6,3,NA,3,NA,2,0.6666666667,"Fledge","Uncertain",25,1,0.3333333333,0,1,1258,"late","N17 REC3",46.2,64,75,"YSOG",15,2,147,740.079,-0.358089920552438,12.33465
"69","81.GOSY","2017-07-06_REC_r5_N17REC2_A","2017-07-06_REC_r5_N17REC2_A.GOSY","2017-07-06_REC_r5_N17REC2.A","female","N17 REC2","N17REC2_brd1","July",187,2017,"REC","Savanna",162,175,200,12,3,NA,3,NA,2,0.6666666667,"Fledge","Uncertain",25,1,0.3333333333,0,0,916,"early","N17 REC3",46.2,64,81,"GOSY",14,0,178,72.346,0.0735363229705891,1.20576666666667
"70","81.YSOG","2017-07-06_REC_r5_N17REC2_B","2017-07-06_REC_r5_N17REC2_B.YSOG","2017-07-06_REC_r5_N17REC2.B","male","N17 REC2","N17REC2_brd1","July",187,2017,"REC","Savanna",162,175,200,12,3,NA,3,NA,2,0.6666666667,"Fledge","Uncertain",25,1,0.3333333333,0,0,1020,"early","N17 REC3",46.2,47,81,"YSOG",10,5,178,85.845,0.0735363229705891,1.43075
"71","82.RYSG","2017-07-06_REC_r5_PN17REC1_A","2017-07-06_REC_r5_PN17REC1_A.RYSG","2017-07-06_REC_r5_PN17REC1.A","male","PN17 REC1","REC1_brd1","July",187,2017,"REC","CC",157,170,195,17,1,NA,3,NA,0,0,"Failed","Certain",18,3,1,0,0,906,"early","N17 REC3",67.4,64,82,"RYSG",12,12,185,1118.165,0.0735363229705891,18.6360833333333
"72","82.SUOB","2017-07-06_REC_r5_PN17REC1_A","2017-07-06_REC_r5_PN17REC1_A.SUOB","2017-07-06_REC_r5_PN17REC1.A","female","PN17 REC1","REC1_brd1","July",187,2017,"REC","CC",157,170,195,17,1,NA,3,NA,0,0,"Failed","Certain",18,3,1,0,0,906,"early","N17 REC3",67.4,64,82,"SUOB",9,0,185,0,0.0735363229705891,0
"73","85.GOSY","2017-07-11_REC_r5_N17REC3_B","2017-07-11_REC_r5_N17REC3_B.GOSY","2017-07-11_REC_r5_N17REC3.B","female","N17 REC2","N17REC2_brd1","July",192,2017,"REC","Savanna",162,175,200,17,3,NA,3,NA,2,0.6666666667,"Fledge","Uncertain",25,1,0.3333333333,0,1,1111,"late","N17 REC3",46.2,64,85,"GOSY",35,0,178,0,0.433224859239779,0
"74","85.YSOG","2017-07-11_REC_r5_N17REC3_A","2017-07-11_REC_r5_N17REC3_A.YSOG","2017-07-11_REC_r5_N17REC3.A","male","N17 REC2","N17REC2_brd1","July",192,2017,"REC","Savanna",162,175,200,17,3,NA,3,NA,2,0.6666666667,"Fledge","Uncertain",25,1,0.3333333333,0,1,1007,"early","N17 REC3",46.2,64,85,"YSOG",11,6,178,197.796,0.433224859239779,3.2966
"75","86.SRGG","2017-07-11_REC_r5_N17REC2_A","2017-07-11_REC_r5_N17REC2_A.SRGG","2017-07-11_REC_r5_N17REC2.A","female","N17 REC3","N17REC3_brd2","July",192,2017,"REC","Savanna",178,191,216,1,2,4,2,0.5,NA,NA,NA,NA,NA,NA,NA,0,1,1003,"early","N17 REC2",46.2,64,86,"SRGG",5,0,182,4133.158,0.433224859239779,68.8859666666667
"76","86.SRGG_mate","2017-07-11_REC_r5_N17REC2_B","2017-07-11_REC_r5_N17REC2_B.SRGG_mate","2017-07-11_REC_r5_N17REC2.B","male","N17 REC3","N17REC3_brd2","July",192,2017,"REC","Savanna",178,191,216,1,2,4,2,0.5,NA,NA,NA,NA,NA,NA,NA,0,1,1107,"late","N17 REC2",46.2,64,86,"SRGG_mate",4,0,182,2541.853,0.433224859239779,42.3642166666667
"77","88.OYSR","2017-07-12_5B_r5_A3_A","2017-07-12_5B_r5_A3_A.OYSR","2017-07-12_5B_r5.A3.A","male","A3","A3_brd2","July",193,2017,"05B","Savanna",NA,177,NA,16,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,99,NA,NA,"NB 5A4",136,64,88,"OYSR",5,2,215,0,0.505162566493616,0
"78","88.SGRO","2017-07-12_5B_r5_A3_A","2017-07-12_5B_r5_A3_A.SGRO","2017-07-12_5B_r5.A3.A","female","A3","A3_brd2","July",193,2017,"05B","Savanna",NA,177,NA,16,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,99,NA,NA,"NB 5A4",136,64,88,"SGRO",38,5,215,0,0.505162566493616,0
"79","89.SRGG","2017-07-12_REC_r5_N17REC3","2017-07-12_REC_r5_N17REC3.SRGG","2017-07-12_REC_r5_N17REC3","female","N17 REC3","N17REC3_brd2","July",193,2017,"REC","Savanna",178,191,216,2,2,4,2,0.5,NA,NA,NA,NA,NA,NA,NA,0,1,1212,"late","N17 REC2",46.2,55,89,"SRGG",3,0,55,684.85,0.505162566493616,11.4141666666667
"80","89.SRGG_mate","2017-07-12_REC_r5_N17REC3","2017-07-12_REC_r5_N17REC3.SRGG_mate","2017-07-12_REC_r5_N17REC3","male","N17 REC3","N17REC3_brd2","July",193,2017,"REC","Savanna",178,191,216,2,2,4,2,0.5,NA,NA,NA,NA,NA,NA,NA,0,1,1212,"late","N17 REC2",46.2,55,89,"SRGG_mate",1,0,55,0,0.505162566493616,0
"81","90.SORO","2017-07-13_5B_r5_RB23_A","2017-07-13_5B_r5_RB23_A.SORO","2017-07-13_5B_r5_RB23.A","female","RB23","RB23_brd2","July",194,2017,"05B","Savanna",180,193,218,1,1,3,2,0.6666666667,NA,NA,NA,NA,NA,NA,NA,0,0,1005,"early","RB36 Alt",107.9,64,90,"SORO",1,0,128,2589.659,0.577100273747454,43.1609833333333
"82","90.SUGR","2017-07-13_5B_r5_RB23_B","2017-07-13_5B_r5_RB23_B.SUGR","2017-07-13_5B_r5_RB23.B","male","RB23","RB23_brd2","July",194,2017,"05B","Savanna",180,193,218,1,1,3,2,0.6666666667,NA,NA,NA,NA,NA,NA,NA,0,0,1109,"late","RB36 Alt",107.9,64,90,"SUGR",0,0,128,67.572,0.577100273747454,1.1262
"83","93.GOSY","2017-07-18_REC_r5_N17REC2_A","2017-07-18_REC_r5_N17REC2_A.GOSY","2017-07-18_REC_r5_N17REC2.A","female","N17 REC2","N17REC2_brd1","July",199,2017,"REC","Savanna",162,175,200,24,2,NA,3,NA,2,0.6666666667,"Fledge","Uncertain",25,1,0.3333333333,1,1,820,"early","N17 REC3",46.2,64,93,"GOSY",2,0,238,0,0.936788810016644,0
"84","93.YSOG","2017-07-18_REC_r5_N17REC2_B","2017-07-18_REC_r5_N17REC2_B.YSOG","2017-07-18_REC_r5_N17REC2.B","male","N17 REC2","N17REC2_brd1","July",199,2017,"REC","Savanna",162,175,200,24,2,NA,3,NA,2,0.6666666667,"Fledge","Uncertain",25,1,0.3333333333,1,1,924,"early","N17 REC3",46.2,64,93,"YSOG",10,0,238,0,0.936788810016644,0
"85","94.OYSR","2017-07-18_5B_r5_A3_C","2017-07-18_5B_r5_A3_C.OYSR","2017-07-18_5B_r5.A3.C","male","A3","A3_brd2","July",199,2017,"05B","Savanna",NA,177,NA,22,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1333,"late","NB 5A4",136,64,94,"OYSR",7,1,211,0,0.936788810016644,0
"86","94.SGRO","2017-07-18_5B_r5_A3_C","2017-07-18_5B_r5_A3_C.SGRO","2017-07-18_5B_r5.A3.C","female","A3","A3_brd2","July",199,2017,"05B","Savanna",NA,177,NA,22,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1333,"late","NB 5A4",136,64,94,"SGRO",9,5,211,0,0.936788810016644,0
"87","99.OOSG","2017-07-19_18C_r5_Catfish_A","2017-07-19_18C_r5_Catfish_A.OOSG","2017-07-19_18C_r5.Catfish.A","male","18C Catfish","18C_Catfish_brd1","July",200,2017,"18C","CC",187,199,224,1,3,4,3,0.75,NA,NA,NA,NA,NA,NA,NA,0,1,1315,"late","PNB 18CB",87.1,64,99,"OOSG",6,1,94,299.337,1.00872651727048,4.98895
"88","99.SUOR","2017-07-19_18C_r5_Catfish_A","2017-07-19_18C_r5_Catfish_A.SUOR","2017-07-19_18C_r5.Catfish.A","female","18C Catfish","18C_Catfish_brd1","July",200,2017,"18C","CC",187,199,224,1,3,4,3,0.75,NA,NA,NA,NA,NA,NA,NA,0,1,1315,"late","PNB 18CB",87.1,64,99,"SUOR",4,2,94,797.75,1.00872651727048,13.2958333333333
